loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
2000,car,42300,OWN,11/02/2021,10+ years,0.1447, 36 months,3,1,Medium,36,,,
4800,car,75000,OWN,08/11/2021,10+ years,0.1781, 36 months,3,1,Medium,36,,,
4800,car,28000,OWN,11/06/2021,3 years,0.1393, 36 months,3,1,Low,36,,,
7000,car,42000,OWN,11/07/2021,3 years,0.0177, 36 months,3,1,Medium,36,,,
3000,car,48000,OWN,10/10/2021,4 years,0.1115, 36 months,3,1,Medium,36,,,
5400,car,33600,OWN,11/05/2021,5 years,0.1368, 36 months,3,1,Medium,36,,,
3500,car,65000,OWN,10/10/2021,6 years,0.2494, 36 months,3,1,Medium,36,,,
6000,car,19200,OWN,11/09/2021,7 years,0.0225, 36 months,3,1,Low,36,,,
5375,car,14400,OWN,11/03/2021,7 years,0.1517, 36 months,3,1,Low,36,,,
9900,car,39600,OWN,10/11/2021,7 years,0.0806, 36 months,3,1,Medium,36,,,
2500,car,48000,OWN,11/11/2021,8 years,0.0775, 36 months,3,1,Medium,36,,,
1000,car,41000,OWN,11/06/2021,< 1 year,0.0808, 36 months,3,1,Medium,36,,,
6000,car,40000,OWN,09/05/2021,< 1 year,0.1323, 36 months,3,1,Medium,36,,,
5000,car,40000,OWN,11/08/2021,10+ years,0.1161, 36 months,3,1,Medium,36,,,
10400,car,48000,OWN,09/03/2021,5 years,0.1207, 36 months,3,1,Medium,36,,,
2500,car,31577,OWN,11/02/2021,6 years,0.0821, 36 months,3,1,Medium,36,,,
1800,car,29280,OWN,09/02/2021,< 1 year,0.0725, 36 months,3,1,Low,36,,,
16000,car,109000,OWN,09/12/2021,10+ years,0.058, 36 months,3,1,Medium,36,,,
7500,car,74400,OWN,10/01/2021,10+ years,0.0426, 36 months,3,1,Medium,36,,,
7500,car,50000,OWN,11/08/2021,10+ years,0.2102, 36 months,3,1,Medium,36,,,
7000,car,102000,OWN,11/03/2021,5 years,0.1242, 36 months,3,1,Medium,36,,,
8000,car,70000,OWN,10/01/2021,< 1 year,0.0792, 36 months,3,1,Medium,36,,,
6000,car,100000,OWN,11/04/2021,5 years,0.1464, 36 months,3,1,Medium,36,,,
7000,car,120000,OWN,11/05/2021,4 years,0.2412, 36 months,3,1,Medium,36,,,
4000,car,52000,OWN,10/03/2021,10+ years,0.1011, 36 months,3,1,Medium,36,,,
15000,car,58000,OWN,10/04/2021,4 years,0.1128, 36 months,3,1,Medium,36,,,
2000,car,43200,OWN,11/05/2021,6 years,0.0936, 36 months,3,1,Medium,36,,,
24000,car,140000,OWN,09/12/2021,10+ years,0.242, 36 months,3,1,Medium,36,,,
1000,car,16800,OWN,11/04/2021,3 years,0.0471, 36 months,3,1,Low,36,,,
4500,car,26000,OWN,11/11/2021,5 years,0.0711, 36 months,3,1,Low,36,,,
4500,car,12000,OWN,10/01/2021,< 1 year,0.17, 36 months,3,1,Low,36,,,
1800,car,50000,OWN,10/08/2021,10+ years,0.0151, 36 months,3,1,Medium,36,,,
2500,car,36000,OWN,11/06/2021,2 years,0.0587, 36 months,3,1,Medium,36,,,
4500,car,24300,OWN,09/12/2021,3 years,0.0099, 36 months,3,1,Low,36,,,
3500,car,62000,OWN,09/11/2021,7 years,0.0805, 36 months,3,1,Medium,36,,,
4000,car,49200,OWN,11/03/2021,10+ years,0.0402, 36 months,3,1,Medium,36,,,
6000,car,50000,OWN,10/03/2021,2 years,0.1409, 36 months,3,1,Medium,36,,,
3500,car,18720,OWN,09/06/2021,< 1 year,0.2083, 36 months,3,1,Low,36,,,
23500,car,124000,OWN,09/12/2021,10+ years,0.0825, 36 months,3,1,Medium,36,,,
22600,car,130000,OWN,09/12/2021,10+ years,0.0788, 36 months,3,1,Medium,36,,,
23600,car,120000,OWN,09/12/2021,10+ years,0.0851, 36 months,3,1,Medium,36,,,
8000,car,36000,OWN,11/03/2021,7 years,0.247, 36 months,3,1,Medium,36,,,
4000,car,31193,OWN,09/07/2021,< 1 year,0, 36 months,3,1,Medium,36,,,
4000,car,22000,OWN,09/04/2021,2 years,0.1975, 36 months,3,1,Low,36,,,
2400,car,25000,OWN,09/03/2021,< 1 year,0.1238, 36 months,3,1,Low,36,,,
7500,car,48000,OWN,10/01/2021,< 1 year,0.0085, 36 months,3,1,Medium,36,,,
5000,car,38500,RENT,10/09/2021,1 year,0.0549, 36 months,1,1,Medium,36,,,
13100,car,71040,RENT,11/05/2021,1 year,0.0275, 36 months,1,1,Medium,36,,,
4000,car,65000,RENT,11/07/2021,1 year,0.0052, 36 months,1,1,Medium,36,,,
5800,car,42000,RENT,09/05/2021,1 year,0.0997, 36 months,1,1,Medium,36,,,
5500,car,42312,RENT,09/08/2021,1 year,0.1211, 36 months,1,1,Medium,36,,,
10000,car,50000,RENT,10/11/2021,1 year,0.0883, 36 months,1,1,Medium,36,,,
3000,car,50000,RENT,11/08/2021,1 year,0.1284, 36 months,1,1,Medium,36,,,
10800,car,52300,RENT,10/02/2021,1 year,0.0376, 36 months,1,1,Medium,36,,,
1900,car,45000,RENT,10/12/2021,10+ years,0.2216, 36 months,1,1,Medium,36,,,
9000,car,140000,RENT,10/09/2021,10+ years,0.0796, 36 months,1,1,Medium,36,,,
2000,car,30000,RENT,11/02/2021,10+ years,0.0024, 36 months,1,1,Medium,36,,,
3800,car,26400,RENT,11/09/2021,10+ years,0.1709, 36 months,1,1,Low,36,,,
4500,car,70000,RENT,11/05/2021,2 years,0.0777, 36 months,1,1,Medium,36,,,
4750,car,60000,RENT,11/07/2021,2 years,0.0622, 36 months,1,1,Medium,36,,,
9000,car,110500,RENT,11/02/2021,2 years,0.0968, 36 months,1,1,Medium,36,,,
6500,car,42000,RENT,11/05/2021,2 years,0.1331, 36 months,1,1,Medium,36,,,
5500,car,30000,RENT,09/02/2021,2 years,0.008, 36 months,1,1,Medium,36,,,
6000,car,23198,RENT,09/03/2021,2 years,0.0895, 36 months,1,1,Low,36,,,
3000,car,70000,RENT,11/01/2021,2 years,0.0427, 36 months,1,1,Medium,36,,,
3200,car,110000,RENT,11/05/2021,2 years,0.0693, 36 months,1,1,Medium,36,,,
1800,car,31000,RENT,08/08/2021,2 years,0.085, 36 months,1,1,Medium,36,,,
6000,car,84000,RENT,10/01/2021,2 years,0.0913, 36 months,1,1,Medium,36,,,
6000,car,30000,RENT,11/04/2021,2 years,0.072, 36 months,1,1,Medium,36,,,
4800,car,35000,RENT,11/07/2021,3 years,0.1282, 36 months,1,1,Medium,36,,,
12000,car,80000,RENT,11/09/2021,3 years,0.1425, 36 months,1,1,Medium,36,,,
4000,car,47000,RENT,11/02/2021,3 years,0.1006, 36 months,1,1,Medium,36,,,
7200,car,34200,RENT,11/05/2021,3 years,0.0242, 36 months,1,1,Medium,36,,,
4200,car,65000,RENT,11/02/2021,3 years,0.0414, 36 months,1,1,Medium,36,,,
4000,car,98000,RENT,09/05/2021,3 years,0.0277, 36 months,1,1,Medium,36,,,
2000,car,68500,RENT,11/07/2021,4 years,0.0519, 36 months,1,1,Medium,36,,,
11200,car,36000,RENT,11/05/2021,4 years,0.0567, 36 months,1,1,Medium,36,,,
7000,car,60000,RENT,11/03/2021,4 years,0.2162, 36 months,1,1,Medium,36,,,
4000,car,14400,RENT,11/02/2021,4 years,0.0208, 36 months,1,1,Low,36,,,
8400,car,189996,RENT,09/03/2021,4 years,0.0105, 36 months,1,1,Medium,36,,,
8000,car,43300,RENT,11/02/2021,4 years,0.051, 36 months,1,1,Medium,36,,,
3000,car,8004,RENT,10/10/2021,4 years,0.087, 36 months,1,1,Low,36,,,
3075,car,36000,RENT,11/03/2021,5 years,0.0787, 36 months,1,1,Medium,36,,,
1700,car,27000,RENT,11/06/2021,5 years,0.052, 36 months,1,1,Low,36,,,
6000,car,84000,RENT,11/08/2021,5 years,0.1194, 36 months,1,1,Medium,36,,,
2000,car,45600,RENT,11/05/2021,5 years,0.2211, 36 months,1,1,Medium,36,,,
5000,car,60000,RENT,11/04/2021,6 years,0.069, 36 months,1,1,Medium,36,,,
3500,car,39336,RENT,11/06/2021,6 years,0.1293, 36 months,1,1,Medium,36,,,
5950,car,42000,RENT,11/07/2021,6 years,0.2183, 36 months,1,1,Medium,36,,,
4200,car,69000,RENT,11/11/2021,6 years,0.1108, 36 months,1,1,Medium,36,,,
6000,car,52000,RENT,10/06/2021,6 years,0.051, 36 months,1,1,Medium,36,,,
4500,car,40000,RENT,11/03/2021,6 years,0.1923, 36 months,1,1,Medium,36,,,
6000,car,60495,RENT,10/02/2021,8 years,0.1343, 36 months,1,1,Medium,36,,,
3000,car,48000,RENT,11/07/2021,8 years,0.1865, 36 months,1,1,Medium,36,,,
9000,car,130000,RENT,09/12/2021,9 years,0.0498, 36 months,1,1,Medium,36,,,
5000,car,70000,RENT,10/01/2021,9 years,0.0211, 36 months,1,1,Medium,36,,,
9000,car,112440,RENT,11/10/2021,9 years,0.1411, 36 months,1,1,Medium,36,,,
3600,car,42000,RENT,09/04/2021,< 1 year,0.0657, 36 months,1,1,Medium,36,,,
4000,car,36300,RENT,09/04/2021,< 1 year,0.0093, 36 months,1,1,Medium,36,,,
6400,car,42000,RENT,11/02/2021,< 1 year,0.1631, 36 months,1,1,Medium,36,,,
3200,car,16000,RENT,09/06/2021,< 1 year,0, 36 months,1,1,Low,36,,,
6000,car,40000,RENT,10/09/2021,< 1 year,0.2022, 36 months,1,1,Medium,36,,,
10000,car,25000,RENT,09/10/2021,< 1 year,0.072, 36 months,1,1,Low,36,,,
5000,car,53000,RENT,11/12/2021,< 1 year,0.1723, 36 months,1,1,Medium,36,,,
8000,car,73000,RENT,10/01/2021,2 years,0.0044, 36 months,1,1,Medium,36,,,
6200,car,44000,RENT,11/01/2021,9 years,0.0297, 36 months,1,1,Medium,36,,,
2000,car,37315,RENT,10/06/2021,1 year,0.0119, 36 months,1,1,Medium,36,,,
11500,car,74500,RENT,10/01/2021,1 year,0.1638, 36 months,1,1,Medium,36,,,
5600,car,30000,RENT,09/11/2021,1 year,0.0668, 36 months,1,1,Medium,36,,,
3500,car,74400,RENT,11/04/2021,1 year,0.1365, 36 months,1,1,Medium,36,,,
15000,car,70500,RENT,09/04/2021,10+ years,0.1711, 36 months,1,1,Medium,36,,,
3000,car,53196,RENT,11/04/2021,10+ years,0.166, 36 months,1,1,Medium,36,,,
4350,car,70000,RENT,10/12/2021,2 years,0.0185, 36 months,1,1,Medium,36,,,
4150,car,30000,RENT,10/09/2021,2 years,0.0568, 36 months,1,1,Medium,36,,,
7000,car,44500,RENT,08/05/2021,2 years,0.0777, 36 months,1,1,Medium,36,,,
7000,car,66000,RENT,11/04/2021,2 years,0.0095, 36 months,1,1,Medium,36,,,
4500,car,52800,RENT,10/07/2021,3 years,0.1139, 36 months,1,1,Medium,36,,,
5000,car,24000,RENT,11/03/2021,3 years,0.056, 36 months,1,1,Low,36,,,
4900,car,25200,RENT,10/12/2021,9 years,0.0371, 36 months,1,1,Low,36,,,
10000,car,24000,RENT,09/04/2021,< 1 year,0, 36 months,1,1,Low,36,,,
6125,car,75400,RENT,09/08/2021,< 1 year,0.1286, 36 months,1,1,Medium,36,,,
10000,car,40000,RENT,08/11/2021,< 1 year,0.0648, 36 months,1,1,Medium,36,,,
5000,car,21000,RENT,08/10/2021,< 1 year,0.0171, 36 months,1,1,Low,36,,,
8000,car,70004,RENT,09/05/2021,< 1 year,0.0756, 36 months,1,1,Medium,36,,,
2425,car,36000,RENT,11/09/2021,< 1 year,0.2487, 36 months,1,1,Medium,36,,,
5600,car,81600,RENT,11/06/2021,2 years,0.0847, 36 months,1,1,Medium,36,,,
8000,car,37050,RENT,09/04/2021,2 years,0.1263, 36 months,1,1,Medium,36,,,
3000,car,45000,RENT,09/05/2021,2 years,0.0536, 36 months,1,1,Medium,36,,,
6400,car,58000,RENT,10/03/2021,5 years,0.1186, 36 months,1,1,Medium,36,,,
10000,car,60000,RENT,09/01/2021,6 years,0.0178, 36 months,1,1,Medium,36,,,
7500,car,21000,RENT,10/10/2021,6 years,0.2286, 36 months,1,1,Low,36,,,
7500,car,34000,RENT,10/01/2021,< 1 year,0.0646, 36 months,1,1,Medium,36,,,
12000,car,89000,RENT,09/12/2021,< 1 year,0.01, 36 months,1,1,Medium,36,,,
5000,car,25000,RENT,10/11/2021,< 1 year,0.1666, 36 months,1,1,Low,36,,,
4600,car,60000,RENT,10/08/2021,10+ years,0.1038, 36 months,1,1,Medium,36,,,
12000,car,45000,RENT,10/07/2021,9 years,0.0523, 36 months,1,1,Medium,36,,,
6000,car,165996,RENT,11/07/2021,1 year,0.0348, 36 months,1,1,Medium,36,,,
3600,car,60000,RENT,11/08/2021,1 year,0.1254, 36 months,1,1,Medium,36,,,
4500,car,32000,RENT,10/09/2021,4 years,0.2254, 36 months,1,1,Medium,36,,,
9000,car,48000,RENT,09/12/2021,7 years,0.1635, 36 months,1,1,Medium,36,,,
1600,car,28150,RENT,10/08/2021,< 1 year,0.1364, 36 months,1,1,Low,36,,,
6500,car,39996,RENT,09/01/2021,4 years,0.0918, 36 months,1,1,Medium,36,,,
7000,car,45000,RENT,11/08/2021,1 year,0.1064, 36 months,1,1,Medium,36,,,
12000,car,96000,RENT,11/08/2021,1 year,0.0143, 36 months,1,1,Medium,36,,,
3075,car,30000,RENT,11/07/2021,1 year,0.0796, 36 months,1,1,Medium,36,,,
7000,car,30000,RENT,10/05/2021,1 year,0.0424, 36 months,1,1,Medium,36,,,
3000,car,54996,RENT,09/05/2021,1 year,0.1189, 36 months,1,1,Medium,36,,,
1000,car,54000,RENT,11/11/2021,10+ years,0.1527, 36 months,1,1,Medium,36,,,
7100,car,15000,RENT,11/05/2021,2 years,0.0584, 36 months,1,1,Low,36,,,
6000,car,46151.04,RENT,11/06/2021,2 years,0.1108, 36 months,1,1,Medium,36,,,
5000,car,31000,RENT,10/03/2021,2 years,0.077, 36 months,1,1,Medium,36,,,
8900,car,116400,RENT,11/02/2021,3 years,0.0228, 36 months,1,1,Medium,36,,,
4000,car,63500,RENT,11/02/2021,3 years,0.155, 36 months,1,1,Medium,36,,,
7500,car,125000,RENT,11/10/2021,3 years,0.0787, 36 months,1,1,Medium,36,,,
10000,car,36000,RENT,09/11/2021,5 years,0.005, 36 months,1,1,Medium,36,,,
14000,car,95000,RENT,10/03/2021,5 years,0.0128, 36 months,1,1,Medium,36,,,
4000,car,51600,RENT,11/09/2021,6 years,0.146, 36 months,1,1,Medium,36,,,
3500,car,47000,RENT,11/07/2021,6 years,0.1014, 36 months,1,1,Medium,36,,,
12000,car,75000,RENT,10/04/2021,6 years,0.1054, 36 months,1,1,Medium,36,,,
4000,car,49000,RENT,11/01/2021,< 1 year,0.1435, 36 months,1,1,Medium,36,,,
12250,car,27996,RENT,09/05/2021,< 1 year,0.147, 36 months,1,1,Low,36,,,
5600,car,12000,RENT,09/12/2021,< 1 year,0.06, 36 months,1,1,Low,36,,,
4200,car,36000,RENT,11/07/2021,7 years,0.1153, 36 months,1,1,Medium,36,,,
3700,car,25000,RENT,11/10/2021,9 years,0.0614, 36 months,1,1,Low,36,,,
3300,car,44760,RENT,11/10/2021,1 year,0.0416, 36 months,1,1,Medium,36,,,
5500,car,57000,RENT,10/05/2021,1 year,0.1855, 36 months,1,1,Medium,36,,,
12000,car,36000,RENT,09/03/2021,1 year,0.2033, 36 months,1,1,Medium,36,,,
2500,car,65004,RENT,08/06/2021,10+ years,0.0155, 36 months,1,1,Medium,36,,,
8400,car,36100,RENT,09/01/2021,3 years,0.014, 36 months,1,1,Medium,36,,,
3000,car,22000,RENT,08/09/2021,3 years,0.09, 36 months,1,1,Low,36,,,
9000,car,57996,RENT,09/09/2021,4 years,0.0048, 36 months,1,1,Medium,36,,,
7500,car,48659,RENT,10/02/2021,4 years,0.0683, 36 months,1,1,Medium,36,,,
9000,car,46200,RENT,11/05/2021,5 years,0.1112, 36 months,1,1,Medium,36,,,
4800,car,20000,RENT,09/09/2021,5 years,0.0312, 36 months,1,1,Low,36,,,
9500,car,50000,RENT,10/04/2021,5 years,0.137, 36 months,1,1,Medium,36,,,
5000,car,48000,RENT,10/12/2021,5 years,0.0893, 36 months,1,1,Medium,36,,,
10000,car,60000,RENT,09/10/2021,5 years,0.0282, 36 months,1,1,Medium,36,,,
3500,car,56000,RENT,11/02/2021,7 years,0.2164, 36 months,1,1,Medium,36,,,
8400,car,28000,RENT,09/12/2021,9 years,0.2105, 36 months,1,1,Low,36,,,
2500,car,52000,RENT,10/11/2021,< 1 year,0.0623, 36 months,1,1,Medium,36,,,
8400,car,30000,RENT,09/07/2021,< 1 year,0.054, 36 months,1,1,Medium,36,,,
1200,car,15600,RENT,09/11/2021,< 1 year,0.2369, 36 months,1,1,Low,36,,,
17000,car,75000,RENT,09/10/2021,< 1 year,0.1415, 36 months,1,1,Medium,36,,,
3500,car,46344,RENT,10/04/2021,< 1 year,0.1139, 36 months,1,1,Medium,36,,,
3600,car,45000,RENT,11/11/2021,6 years,0.092, 36 months,1,1,Medium,36,,,
2550,car,66000,RENT,10/01/2021,9 years,0.1842, 36 months,1,1,Medium,36,,,
5000,car,60000,RENT,08/06/2021,1 year,0.1434, 36 months,1,1,Medium,36,,,
4800,car,13440,RENT,09/10/2021,1 year,0.0205, 36 months,1,1,Low,36,,,
5600,car,60000,RENT,11/01/2021,3 years,0.06, 36 months,1,1,Medium,36,,,
8500,car,68000,RENT,11/04/2021,3 years,0.1184, 36 months,1,1,Medium,36,,,
7000,car,32000,RENT,11/09/2021,3 years,0.0836, 36 months,1,1,Medium,36,,,
1800,car,35000,RENT,11/07/2021,4 years,0.2568, 36 months,1,1,Medium,36,,,
6500,car,52000,RENT,11/04/2021,5 years,0.2165, 36 months,1,1,Medium,36,,,
6000,car,24000,RENT,11/05/2021,5 years,0.019, 36 months,1,1,Low,36,,,
4800,car,50000,RENT,10/12/2021,< 1 year,0.1603, 36 months,1,1,Medium,36,,,
6250,car,24000,RENT,10/01/2021,< 1 year,0.2175, 36 months,1,1,Low,36,,,
7500,car,57000,RENT,09/11/2021,2 years,0.1128, 36 months,1,1,Medium,36,,,
14400,car,61000,RENT,09/10/2021,1 year,0.0329, 36 months,1,1,Medium,36,,,
1000,car,58000,RENT,09/05/2021,10+ years,0.1541, 36 months,1,1,Medium,36,,,
5400,car,35000,RENT,11/08/2021,10+ years,0.1413, 36 months,1,1,Medium,36,,,
4800,car,24500,RENT,11/12/2021,3 years,0.0338, 36 months,1,1,Low,36,,,
9600,car,35400,RENT,09/07/2021,4 years,0.2115, 36 months,1,1,Medium,36,,,
7500,car,65000,RENT,09/07/2021,8 years,0.1165, 36 months,1,1,Medium,36,,,
9000,car,40000,RENT,09/03/2021,1 year,0.009, 36 months,1,1,Medium,36,,,
4800,car,30000,RENT,09/07/2021,1 year,0.2284, 36 months,1,1,Medium,36,,,
7500,car,48000,RENT,09/08/2021,10+ years,0.2051, 36 months,1,1,Medium,36,,,
6000,car,48000,RENT,08/07/2021,10+ years,0.1477, 36 months,1,1,Medium,36,,,
8400,car,31200,RENT,10/06/2021,2 years,0.0769, 36 months,1,1,Medium,36,,,
9600,car,78000,RENT,08/04/2021,3 years,0.13, 36 months,1,1,Medium,36,,,
11000,car,108000,RENT,11/11/2021,6 years,0.0683, 36 months,1,1,Medium,36,,,
10000,car,50000,RENT,11/04/2021,6 years,0.0377, 36 months,1,1,Medium,36,,,
9000,car,60000,RENT,10/10/2021,7 years,0.1762, 36 months,1,1,Medium,36,,,
4000,car,48000,RENT,10/09/2021,7 years,0.1855, 36 months,1,1,Medium,36,,,
4000,car,60000,RENT,10/07/2021,< 1 year,0.0734, 36 months,1,1,Medium,36,,,
8200,car,55000,RENT,10/04/2021,9 years,0.1588, 36 months,1,1,Medium,36,,,
9250,car,28800,RENT,10/08/2021,1 year,0.1404, 36 months,1,1,Low,36,,,
4500,car,138000,RENT,11/02/2021,1 year,0.0123, 36 months,1,1,Medium,36,,,
2000,car,20400,RENT,11/10/2021,2 years,0.1241, 36 months,1,1,Low,36,,,
3000,car,38000,RENT,11/02/2021,2 years,0.0117, 36 months,1,1,Medium,36,,,
4200,car,19000,RENT,09/08/2021,2 years,0.2305, 36 months,1,1,Low,36,,,
1000,car,7000,RENT,09/11/2021,2 years,0.1354, 36 months,1,1,Low,36,,,
2000,car,15000,RENT,09/04/2021,4 years,0.1528, 36 months,1,1,Low,36,,,
6000,car,29000,RENT,11/12/2021,5 years,0.0277, 36 months,1,1,Low,36,,,
10000,car,54996,RENT,09/03/2021,4 years,0.0559, 36 months,1,1,Medium,36,,,
5000,car,48000,RENT,11/03/2021,< 1 year,0.005, 36 months,1,1,Medium,36,,,
3375,car,33000,RENT,11/06/2021,10+ years,0.1745, 36 months,1,1,Medium,36,,,
7200,car,38896,RENT,10/02/2021,2 years,0.112, 36 months,1,1,Medium,36,,,
5000,car,35550,RENT,11/09/2021,3 years,0.1063, 36 months,1,1,Medium,36,,,
1200,car,58000,RENT,11/08/2021,4 years,0.0846, 36 months,1,1,Medium,36,,,
4000,car,86095,RENT,11/06/2021,5 years,0.1146, 36 months,1,1,Medium,36,,,
10000,car,150000,RENT,11/11/2021,7 years,0.1691, 36 months,1,1,Medium,36,,,
4800,car,42000,RENT,10/06/2021,4 years,0.138, 36 months,1,1,Medium,36,,,
1675,car,28800,RENT,10/09/2021,1 year,0.1108, 36 months,1,1,Low,36,,,
6000,car,32000,RENT,08/06/2021,1 year,0.0476, 36 months,1,1,Medium,36,,,
2400,car,60000,RENT,10/12/2021,2 years,0.0974, 36 months,1,1,Medium,36,,,
7500,car,90000,RENT,10/02/2021,3 years,0.176, 36 months,1,1,Medium,36,,,
6000,car,73500,RENT,09/10/2021,7 years,0.1843, 36 months,1,1,Medium,36,,,
5800,car,75000,RENT,10/02/2021,< 1 year,0.0186, 36 months,1,1,Medium,36,,,
8600,car,36500,RENT,09/08/2021,1 year,0.1858, 36 months,1,1,Medium,36,,,
2500,car,22200,RENT,11/09/2021,2 years,0.1259, 36 months,1,1,Low,36,,,
8000,car,38918.4,RENT,10/05/2021,5 years,0.0839, 36 months,1,1,Medium,36,,,
2800,car,15000,RENT,09/09/2021,1 year,0.068, 36 months,1,1,Low,36,,,
5500,car,43004,RENT,09/04/2021,2 years,0.127, 36 months,1,1,Medium,36,,,
4500,car,47360,RENT,10/10/2021,5 years,0.0537, 36 months,1,1,Medium,36,,,
7500,car,48000,RENT,10/01/2021,7 years,0.0492, 36 months,1,1,Medium,36,,,
18000,car,70200,RENT,10/03/2021,9 years,0.2021, 36 months,1,1,Medium,36,,,
5200,car,30000,RENT,10/02/2021,2 years,0.2229, 36 months,1,1,Medium,36,,,
2500,car,14400,RENT,10/03/2021,3 years,0, 36 months,1,1,Low,36,,,
3525,car,36000,RENT,10/02/2021,5 years,0.189, 36 months,1,1,Medium,36,,,
5000,car,144000,RENT,09/02/2021,10+ years,0.0435, 36 months,1,1,Medium,36,,,
6000,car,36000,RENT,10/07/2021,10+ years,0.072, 36 months,1,1,Medium,36,,,
4000,car,51500,MORTGAGE,10/07/2021,6 years,0.1456, 36 months,2,1,Medium,36,,,
3200,car,36500,MORTGAGE,09/06/2021,7 years,0.0033, 36 months,2,1,Medium,36,,,
8400,car,28800,MORTGAGE,11/03/2021,7 years,0.0771, 36 months,2,1,Low,36,,,
5200,car,81120,MORTGAGE,11/04/2021,5 years,0.1843, 36 months,2,1,Medium,36,,,
5500,car,54000,MORTGAGE,11/08/2021,7 years,0.1649, 36 months,2,1,Medium,36,,,
5600,car,64800,MORTGAGE,11/07/2021,7 years,0.1502, 36 months,2,1,Medium,36,,,
5000,car,40000,MORTGAGE,11/05/2021,2 years,0.141, 36 months,2,1,Medium,36,,,
3000,car,70000,MORTGAGE,11/12/2021,10+ years,0.1517, 36 months,2,1,Medium,36,,,
9000,car,40000,MORTGAGE,09/04/2021,3 years,0.0966, 36 months,2,1,Medium,36,,,
2100,car,72000,MORTGAGE,11/02/2021,4 years,0.1542, 36 months,2,1,Medium,36,,,
3000,car,225000,MORTGAGE,10/10/2021,4 years,0.0538, 36 months,2,1,Medium,36,,,
8800,car,55600,OWN,11/06/2021,10+ years,0, 36 months,3,1,Medium,36,,,
2250,car,70000,OWN,10/12/2021,2 years,0.1797, 36 months,3,1,Medium,36,,,
5600,car,48000,RENT,11/06/2021,7 years,0.188, 36 months,1,1,Medium,36,,,
5100,car,40000,RENT,10/10/2021,6 years,0.1824, 36 months,1,1,Medium,36,,,
8000,car,65004,MORTGAGE,09/04/2021,1 year,0.0277, 36 months,2,1,Medium,36,,,
5900,car,78644,MORTGAGE,11/06/2021,3 years,0.275, 36 months,2,1,Medium,36,,,
4500,car,39660,MORTGAGE,11/08/2021,< 1 year,0.1165, 36 months,2,1,Medium,36,,,
3800,car,47000,MORTGAGE,11/11/2021,< 1 year,0.2252, 36 months,2,1,Medium,36,,,
4500,car,42000,MORTGAGE,11/06/2021,1 year,0.1091, 36 months,2,1,Medium,36,,,
3600,car,30000,RENT,11/03/2021,5 years,0.1892, 36 months,1,1,Medium,36,,,
3000,car,27600,RENT,10/09/2021,5 years,0.1535, 36 months,1,1,Low,36,,,
16000,car,42494,RENT,11/11/2021,7 years,0.1065, 36 months,1,1,Medium,36,,,
4375,car,14400,RENT,11/04/2021,< 1 year,0.1592, 36 months,1,1,Low,36,,,
8000,car,42816,RENT,11/12/2021,< 1 year,0.0188, 36 months,1,1,Medium,36,,,
7200,car,31700,RENT,11/11/2021,< 1 year,0.0201, 36 months,1,1,Medium,36,,,
5500,car,18000,RENT,11/10/2021,1 year,0.2043, 36 months,1,1,Low,36,,,
1800,car,29040,RENT,10/10/2021,10+ years,0.0308, 36 months,1,1,Low,36,,,
3000,car,45314,RENT,11/05/2021,10+ years,0.223, 36 months,1,1,Medium,36,,,
3000,car,31400,RENT,11/08/2021,7 years,0.1896, 36 months,1,1,Medium,36,,,
5600,car,30000,RENT,09/06/2021,10+ years,0.0208, 36 months,1,1,Medium,36,,,
5000,car,36000,RENT,10/08/2021,4 years,0.0743, 36 months,1,1,Medium,36,,,
5000,car,46000,RENT,11/08/2021,< 1 year,0.1156, 36 months,1,1,Medium,36,,,
2400,car,31000,MORTGAGE,11/09/2021,10+ years,0.2059, 36 months,2,1,Medium,36,,,
1275,car,65964,MORTGAGE,11/07/2021,< 1 year,0.2059, 36 months,2,1,Medium,36,,,
3000,car,46000,MORTGAGE,11/07/2021,1 year,0.1672, 36 months,2,1,Medium,36,,,
9000,car,75000,MORTGAGE,11/03/2021,1 year,0.149, 36 months,2,1,Medium,36,,,
9500,car,126000,MORTGAGE,11/03/2021,10+ years,0.0674, 36 months,2,1,Medium,36,,,
8000,car,22000,MORTGAGE,11/08/2021,10+ years,0.2416, 36 months,2,1,Low,36,,,
5050,car,69900,MORTGAGE,11/02/2021,10+ years,0.0436, 36 months,2,1,Medium,36,,,
12000,car,240000,MORTGAGE,11/10/2021,10+ years,0.1631, 36 months,2,1,Medium,36,,,
6000,car,90000,MORTGAGE,11/10/2021,10+ years,0.0708, 36 months,2,1,Medium,36,,,
7600,car,100000,MORTGAGE,11/10/2021,10+ years,0.1122, 36 months,2,1,Medium,36,,,
1500,car,98400,MORTGAGE,11/09/2021,10+ years,0.0672, 36 months,2,1,Medium,36,,,
8000,car,86400,MORTGAGE,11/12/2021,10+ years,0.0732, 36 months,2,1,Medium,36,,,
15000,car,40000,MORTGAGE,11/07/2021,10+ years,0.0204, 36 months,2,1,Medium,36,,,
3000,car,87600,MORTGAGE,11/05/2021,10+ years,0.1667, 36 months,2,1,Medium,36,,,
4800,car,49200,MORTGAGE,11/10/2021,10+ years,0.05, 36 months,2,1,Medium,36,,,
